Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
HCLTECH,09-Jan-26,0.97,0.01,0.01,0.01,0.01,7,0.07,1
HCLTECH,08-Jan-26,1,0.11,0.97,0.11,0.97,12,9.92,3
HCLTECH,07-Jan-26,0.3,0.3,1,0.3,1,350,231,3
HCLTECH,06-Jan-26,0.84,1,1,0.3,0.3,"3,613","3,533.90",4
HCLTECH,05-Jan-26,0.64,0.35,5,0.15,0.84,"20,306","14,812.98",56
HCLTECH,01-Jan-26,2.31,5,5,5,5,1,5,1
HCLTECH,30-Dec-25,0.97,0.77,5,0.77,2.31,"2,800","6,489.00",14
HCLTECH,30-Dec-25,1,0.64,0.64,0.64,0.64,339,217,1
HCLTECH,15-Dec-25,1.9,1,1,1,1,"4,900","4,900.00",7
HCLTECH,05-Dec-25,0.1,0.97,0.97,0.97,0.97,350,340,1
HCLTECH,02-Dec-25,1,0.1,0.1,0.1,0.1,25,3,2
HCLTECH,25-Nov-25,0.5,0.55,0.99,0.55,0.82,"1,050",868,3
HCLTECH,18-Nov-25,0.46,0.39,0.5,0.39,0.5,500,234,3
HCLTECH,18-Nov-25,1.5,1,1,0.5,1,"6,500","6,478.00",19
HCLTECH,14-Nov-25,1.98,0.45,0.49,0.45,0.46,603,283,3
HCLTECH,28-Oct-25,2,0.99,1,0.99,1,"9,500","9,491.00",10
HCLTECH,13-Oct-25,3,2,2,2,2,44,88,2
HCLTECH,04-Oct-25,0.45,150,150,150,150,"2,000","3,00,000.00",2
HCLTECH,30-Sep-25,2,0.99,0.99,0.55,0.55,"5,141","3,088.00",3
HCLTECH,28-Aug-25,0.5,0.25,0.45,0.25,0.45,500,155,2
HCLTECH,11-Aug-25,1.69,0.5,0.5,0.5,0.5,"3,087","1,544.00",3
HCLTECH,25-Jul-25,0.5,1.69,1.69,1.69,1.69,77,130,1
HCLTECH,11-Jul-25,0.5,0.51,1.35,0.5,0.9,"2,707","1,770.00",11
