Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
WIPRO,16-Dec-25,0.25,0.25,0.25,0.25,0.25,980,245,1
WIPRO,16-Dec-25,0.24,0.2,0.2,0.2,0.2,1,-,1
WIPRO,15-Dec-25,0.9,0.85,0.9,0.4,0.7,"15,000","9,938.00",12
WIPRO,12-Dec-25,0.01,0.24,0.24,0.24,0.24,182,44,1
WIPRO,12-Dec-25,0.26,0.5,0.9,0.5,0.9,"14,374","12,936.00",3
WIPRO,12-Dec-25,0.5,0.25,0.25,0.25,0.25,"1,188",297,1
WIPRO,11-Dec-25,0.26,0.26,0.26,0.26,0.26,600,156,2
WIPRO,10-Dec-25,0.25,0.26,0.26,0.26,0.26,4,1,1
WIPRO,09-Dec-25,0.9,0.25,0.25,0.25,0.25,1,-,1
WIPRO,09-Dec-25,0.01,0.01,0.01,0.01,0.01,2,-,1
WIPRO,08-Dec-25,0.8,0.55,0.55,0.5,0.5,"6,150","3,325.00",11
WIPRO,08-Dec-25,0.02,0.01,0.01,0.01,0.01,20,-,1
WIPRO,08-Dec-25,0.26,0.26,0.9,0.26,0.9,12,5,4
WIPRO,05-Dec-25,0.5,0.2,0.85,0.2,0.26,"9,011","7,653.00",5
WIPRO,04-Dec-25,0.25,0.25,0.25,0.01,0.02,"2,61,183","5,912.00",5
WIPRO,03-Dec-25,305.05,0.8,0.87,0.8,0.8,"2,80,000","2,24,420.00",51
WIPRO,03-Dec-25,0.4,0.02,0.25,0.02,0.25,"24,003","6,000.00",2
WIPRO,01-Dec-25,0.2,0.25,0.5,0.25,0.5,27,13,2
WIPRO,28-Nov-25,0.5,0.01,0.4,0.01,0.4,"14,771","5,908.00",2
WIPRO,28-Nov-25,0.71,0.2,0.2,0.2,0.2,20,4,1
WIPRO,27-Nov-25,0.03,0.01,0.01,0.01,0.01,"3,84,000","3,840.00",1
WIPRO,26-Nov-25,1.45,0.5,0.5,0.5,0.5,112,56,1
WIPRO,26-Nov-25,0.75,0.51,0.75,0.51,0.75,"2,144","1,198.00",3
WIPRO,25-Nov-25,0.01,0.03,0.03,0.03,0.03,"50,000","1,500.00",1
WIPRO,25-Nov-25,0.8,0.5,1.45,0.5,1.45,"1,67,000","1,69,391.00",47
WIPRO,25-Nov-25,0.75,1,1,0.7,0.75,"12,61,778","10,29,915.00",139
WIPRO,24-Nov-25,0.75,0.5,0.8,0.4,0.8,"44,872","35,718.00",10
WIPRO,24-Nov-25,0.05,0.01,0.01,0.01,0.01,"32,683",327,2
WIPRO,21-Nov-25,0.99,0.81,0.95,0.75,0.75,"1,20,483","94,002.00",14
WIPRO,21-Nov-25,0.01,0.05,0.05,0.05,0.05,"54,000","2,700.00",3
WIPRO,21-Nov-25,0.85,0.75,0.8,0.7,0.75,"1,73,895","1,33,967.00",7
WIPRO,20-Nov-25,1.01,1.01,1.1,0.85,0.99,"6,78,196","7,03,797.00",82
WIPRO,20-Nov-25,1.02,1.25,1.25,0.85,0.85,"3,43,410","3,80,684.00",9
WIPRO,19-Nov-25,1,1,1.07,1,1.02,"12,77,395","13,18,333.00",95
WIPRO,19-Nov-25,0.01,0.01,0.01,0.01,0.01,"6,789",68,1
WIPRO,19-Nov-25,1.05,0.6,1.05,0.6,1.01,"7,57,952","7,51,027.00",91
WIPRO,18-Nov-25,0.05,0.01,0.01,0.01,0.01,"4,444",44,1
WIPRO,18-Nov-25,1,1.01,1.1,0.95,1.05,"17,90,169","18,83,725.00",149
WIPRO,18-Nov-25,1.05,1.1,1.1,1,1,"7,62,008","7,89,221.00",112
WIPRO,17-Nov-25,1.37,0.75,1.25,0.75,1,"6,95,349","7,38,316.00",135
WIPRO,17-Nov-25,0.1,0.01,0.05,0.01,0.05,"12,666",367,3
WIPRO,17-Nov-25,0.94,1,1.15,1,1.05,"33,00,550","35,22,811.00",377
WIPRO,14-Nov-25,0.88,0.55,1.45,0.55,1.37,"58,099","49,975.00",26
WIPRO,14-Nov-25,0.75,0.6,1.05,0.6,0.94,"37,57,306","33,04,842.00",400
