Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
TECHM,24-Jan-25,1.5,1.49,5,1.49,5,"66,800","1,51,080.00",49
TECHM,23-Jan-25,1.99,1.5,1.5,1.5,1.5,600,900,1
TECHM,22-Jan-25,1.9,2.1,2.3,0.51,2,"1,11,440","2,28,380.00",145
TECHM,22-Jan-25,1.15,1.5,2.5,1.5,1.99,"2,53,200","4,37,126.00",88
TECHM,21-Jan-25,2.8,1.5,2.5,1.1,1.9,"38,635","71,838.00",82
TECHM,21-Jan-25,1.9,1,2,1,1.15,"73,800","1,07,452.00",44
TECHM,20-Jan-25,0.2,1,1.9,1,1.9,"4,200","7,890.00",8
TECHM,20-Jan-25,2.5,2,4,0.95,2.8,"54,061","81,245.00",123
TECHM,17-Jan-25,3,2.5,2.5,2.5,2.5,40,100,4
TECHM,16-Jan-25,1.99,2.5,3,2.5,3,106,274,3
TECHM,10-Jan-25,2,2,2,1.99,1.99,55,110,11
TECHM,30-Dec-24,1,1.99,5,1.99,2,"45,100","1,09,979.00",40
TECHM,24-Dec-24,2,1,1,1,1,"4,172","4,172.00",9
TECHM,23-Dec-24,0.7,2,2,2,2,"1,800","3,600.00",14
TECHM,18-Dec-24,1.98,0.7,0.7,0.7,0.7,"5,900","4,130.00",8
TECHM,18-Dec-24,0.5,0.51,0.51,0.5,0.5,"3,600","1,824.00",8
TECHM,12-Dec-24,0.5,0.25,0.75,0.25,0.5,"2,10,500","89,225.00",89
TECHM,03-Dec-24,0.7,0.5,0.5,0.5,0.5,20,10,1
TECHM,02-Dec-24,-,0.7,0.7,0.7,0.7,89,62,1
TECHM,23-Nov-24,0.95,"1,500.00","1,500.00","1,500.00","1,500.00",100,"1,50,000.00",1
TECHM,19-Nov-24,2,0.5,0.5,0.5,0.5,"3,000","1,500.00",4
TECHM,14-Nov-24,1,0.9,2,0.9,2,"1,200","1,977.00",7
TECHM,08-Nov-24,2,1,1,1,1,31,31,1
TECHM,05-Nov-24,2,2,2,2,2,180,360,1
TECHM,04-Nov-24,4.74,2,2,2,2,1,2,1
TECHM,25-Oct-24,4.9,1.99,1.99,1.99,1.99,166,330,1
TECHM,23-Oct-24,1.99,4,4.9,4,4.9,40,178,8
TECHM,22-Oct-24,1,2,4.75,2,4.74,835,"3,319.00",3
TECHM,22-Oct-24,4.95,1.99,2,1.99,1.99,"2,880","5,759.00",3
TECHM,21-Oct-24,4.9,4.93,4.95,4.8,4.95,"1,800","8,777.00",7
TECHM,17-Oct-24,4.1,4.95,4.95,4.9,4.9,40,197,8
TECHM,16-Oct-24,4.95,4.1,4.1,4.1,4.1,75,308,1
TECHM,14-Oct-24,4,4.95,4.95,4.95,4.95,20,99,4
TECHM,11-Oct-24,0.45,1,1,1,1,"1,020","1,020.00",1
TECHM,09-Oct-24,3,2.99,4,2.99,4,"3,600","14,178.00",6
TECHM,04-Oct-24,1,3.95,4,1.75,3,"86,400","2,98,017.00",117
TECHM,27-Sep-24,2,1.5,1.5,1,1,"2,121","2,282.00",4
TECHM,26-Sep-24,0.5,1.25,1.25,1.25,1.25,163,204,1
TECHM,25-Sep-24,2.9,2.85,3,1.01,2,"2,30,400","6,30,663.00",147
TECHM,24-Sep-24,1,1.45,2.9,1.45,2.9,"3,200","5,088.00",13
TECHM,20-Sep-24,0.66,1,1,1,1,"1,200","1,200.00",4
TECHM,18-Sep-24,2.69,0.6,0.75,0.6,0.75,"1,72,400","1,06,050.00",19
TECHM,18-Sep-24,1,0.7,0.7,0.5,0.66,716,478,4
TECHM,17-Sep-24,0.4,2.69,2.69,2.69,2.69,163,438,1
TECHM,29-Aug-24,1,2.89,2.89,2.89,2.89,600,"1,734.00",1
TECHM,23-Aug-24,1.8,0.8,2,0.8,1,"3,871","4,648.00",20
TECHM,20-Aug-24,1,1.8,1.8,1.8,1.8,67,121,1
TECHM,03-Jul-24,2.5,1.8,1.8,1.8,1.8,350,630,4
TECHM,02-Jul-24,2.5,2.5,2.5,2.5,2.5,25,63,1
TECHM,28-Jun-24,1,2.5,2.5,2.5,2.5,4,10,1
TECHM,18-Jun-24,2.8,2,2,2,2,268,536,5
TECHM,03-Jun-24,2,2.8,2.8,2.8,2.8,38,106,1
TECHM,31-May-24,1.51,2,2,2,2,74,148,1
TECHM,30-May-24,0.5,1.5,2,1.5,1.51,465,705,5
TECHM,13-May-24,0.8,1.49,1.49,1.49,1.49,112,167,1
TECHM,25-Apr-24,1,0.8,1.49,0.75,1.49,"4,200","4,621.00",8
TECHM,25-Apr-24,1.99,0.8,0.8,0.8,0.8,250,200,1
TECHM,24-Apr-24,0.8,1,1,1,1,218,218,1
TECHM,16-Apr-24,2.25,0.8,0.8,0.8,0.8,41,33,2
TECHM,02-Apr-24,3,2.25,2.25,2.25,2.25,491,"1,105.00",6
TECHM,20-Mar-24,1.4,1.49,1.49,1.49,1.49,99,148,1
TECHM,19-Mar-24,1,1.4,1.4,1.4,1.4,88,123,1
TECHM,29-Feb-24,1.99,0.2,0.2,0.2,0.2,"1,200",240,6
TECHM,08-Feb-24,1,1.99,1.99,1.99,1.99,93,185,1
TECHM,07-Feb-24,1,1,1,1,1,198,198,1
TECHM,25-Jan-24,0.47,1,1,1,1,16,16,1
TECHM,25-Jan-24,0.5,0.89,1.98,0.89,1.98,"2,338","2,665.00",6
TECHM,11-Jan-24,2.25,0.3,0.5,0.3,0.5,"1,300",415,2
TECHM,04-Jan-24,2.24,2.25,2.25,2.25,2.25,128,288,4
TECHM,03-Jan-24,1,2.24,2.24,2.24,2.24,240,538,1
TECHM,28-Dec-23,0.45,0.25,2.2,0.25,1.69,"1,980","2,225.00",13
TECHM,15-Dec-23,1,0.45,0.45,0.45,0.45,114,51,1
TECHM,13-Dec-23,0.49,1,1,1,1,301,301,5
TECHM,07-Dec-23,2.99,0.49,0.49,0.49,0.49,2,1,1
TECHM,04-Dec-23,0.5,2.99,2.99,2.99,2.99,777,"2,323.00",1
TECHM,22-Nov-23,0.95,0.45,0.45,0.45,0.45,413,186,1
TECHM,17-Oct-23,1,1,1,1,1,5,5,1
TECHM,10-Oct-23,0.99,1,1,1,1,53,53,1
TECHM,06-Oct-23,0.99,0.99,0.99,0.99,0.99,550,545,1
TECHM,05-Oct-23,1,0.99,1,0.99,0.99,462,458,2
TECHM,04-Oct-23,2.95,1,1,1,1,2,2,1
TECHM,28-Sep-23,0.5,2.99,2.99,2.95,2.95,"1,200","3,564.00",7
TECHM,27-Sep-23,0.5,0.4,0.4,0.4,0.4,"1,200",480,1
TECHM,27-Sep-23,0.5,0.5,0.5,0.5,0.5,"1,200",600,2
TECHM,25-Sep-23,1,1,1,0.5,0.5,"4,800","4,176.00",12
TECHM,18-Sep-23,0.9,0.5,0.5,0.5,0.5,600,300,1
TECHM,23-Aug-23,1,1,1,1,1,957,957,3
TECHM,17-Aug-23,2,1,1,1,1,220,220,3
TECHM,11-Aug-23,1.99,1.99,2,1.99,2,"2,343","4,666.00",2
TECHM,01-Aug-23,1.5,1.99,1.99,1.99,1.99,236,470,1
TECHM,26-Jul-23,0.7,1,1,1,1,67,67,1
TECHM,23-Jun-23,0.01,0.5,0.5,0.5,0.5,542,271,3
TECHM,22-Jun-23,1,0.01,0.01,0.01,0.01,600,6,1
TECHM,16-Jun-23,1,1,1,1,1,137,137,1
TECHM,08-Jun-23,0.5,1,1,1,1,536,536,1
TECHM,07-Jun-23,0.01,0.5,0.5,0.5,0.5,441,221,1
TECHM,26-May-23,0.91,0.01,0.01,0.01,0.01,"4,800",48,1
TECHM,25-May-23,1,0.8,1.46,0.8,0.91,600,546,4
TECHM,22-May-23,1,1,1,1,1,"4,200","4,200.00",3
TECHM,29-Mar-23,1.9,1.9,3,1.9,3,"3,600","9,270.00",4
TECHM,13-Mar-23,1,1,1,1,1,100,100,2
TECHM,06-Mar-23,1,1,1,1,1,"1,116","1,116.00",3
