Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
TCS,06-Jun-24,3.95,1,1,1,1,"2,005","2,005.00",5
TCS,31-May-24,0.5,0.5,0.5,0.5,0.5,"1,508",754,4
TCS,31-May-24,2.75,3.95,3.95,3.95,3.95,74,292,1
TCS,30-May-24,1.7,0.75,2.75,0.75,2.75,292,319,2
TCS,28-May-24,3,1,3,1,1.7,"38,690","57,536.00",23
TCS,17-May-24,1,3,3,3,3,"1,142","3,426.00",3
TCS,17-May-24,1.45,1.75,2,1.75,2,536,973,3
TCS,13-May-24,1,1,1,1,1,43,43,1
TCS,08-May-24,0.5,1,1,1,1,"2,582","2,582.00",14
TCS,07-May-24,0.75,1,1.45,0.85,1.45,"48,161","46,563.00",72
TCS,06-May-24,0.25,1.99,2,0.5,0.5,"1,320","1,182.00",4
TCS,06-May-24,0.9,0.5,1.5,0.5,0.75,"87,025","80,300.00",90
TCS,30-Apr-24,0.49,0.5,0.9,0.5,0.9,"17,602","8,979.00",13
TCS,29-Apr-24,1,0.5,0.5,0.25,0.49,"25,200","11,887.00",15
TCS,26-Apr-24,0.5,1,1,1,1,19,19,1
TCS,25-Apr-24,0.5,0.5,0.5,0.5,0.5,"2,397","1,199.00",6
TCS,24-Apr-24,0.95,1,1,1,1,19,19,1
TCS,19-Apr-24,0.5,0.95,0.95,0.95,0.95,135,128,2
TCS,09-Apr-24,1,0.95,0.95,0.5,0.5,175,88,4
TCS,08-Apr-24,1.95,0.79,1,0.79,1,"2,625","2,113.00",10
TCS,04-Apr-24,1.99,1.9,1.99,1.9,1.95,127,248,2
TCS,28-Mar-24,0.75,1.99,1.99,1.99,1.99,175,348,1
TCS,28-Mar-24,0.8,0.8,1,0.8,0.99,"1,050","1,030.00",3
TCS,20-Mar-24,0.8,0.8,0.8,0.8,0.8,272,218,2
TCS,19-Mar-24,0.79,0.8,0.8,0.8,0.8,146,117,2
TCS,06-Mar-24,0.8,0.79,0.79,0.79,0.79,32,25,1
TCS,01-Mar-24,1,0.8,0.8,0.8,0.8,20,16,1
TCS,29-Feb-24,0.5,0.8,1,0.8,1,150,122,2
TCS,25-Jan-24,0.99,0.8,1,0.8,0.9,"1,938","1,743.00",10
TCS,17-Jan-24,0.5,0.15,0.15,0.15,0.15,1,-,1
TCS,16-Jan-24,1,0.5,0.5,0.5,0.5,23,12,2
TCS,15-Jan-24,0.5,1,1,1,1,875,875,1
TCS,12-Jan-24,0.4,0.5,0.5,0.5,0.5,4,2,1
TCS,11-Jan-24,0.99,0.35,0.4,0.35,0.4,"1,594",567,6
TCS,20-Dec-23,2,2,2,2,2,"1,450","2,900.00",3
TCS,18-Dec-23,0.99,2,2,1,2,848,"1,109.00",4
TCS,11-Dec-23,1,0.99,0.99,0.99,0.99,60,59,1
TCS,08-Dec-23,0.35,0.39,1,0.39,1,"5,355","5,074.00",4
TCS,06-Dec-23,1,0.35,0.35,0.35,0.35,71,25,2
TCS,04-Dec-23,1,1,1,1,1,130,130,4
TCS,01-Dec-23,0.49,1,1,1,1,60,60,2
TCS,29-Nov-23,1.99,0.5,0.5,0.49,0.49,"2,967","1,482.00",74
TCS,25-Nov-23,1,"2,500.00","2,500.00","2,500.00","2,500.00",200,"5,00,000.00",2
TCS,10-Nov-23,0.5,1.99,1.99,1.99,1.99,5,10,1
TCS,25-Oct-23,0.2,1,1,1,1,10,10,1
TCS,17-Oct-23,1.99,0.5,0.5,0.5,0.5,50,25,1
TCS,13-Oct-23,0.99,0.95,1.99,0.95,1.99,"1,750","1,959.00",7
TCS,10-Oct-23,1,1,1,0.99,0.99,"5,836","5,834.00",4
TCS,09-Oct-23,0.01,1,1,1,1,350,350,1
TCS,28-Sep-23,1,1,1,1,1,333,333,1
TCS,21-Sep-23,1,1,1,1,1,1,1,1
TCS,14-Sep-23,1,1,1,1,1,118,118,1
TCS,06-Sep-23,0.45,1,1,1,1,108,108,1
TCS,06-Jul-23,0.5,0.5,0.5,0.5,0.5,205,103,1
TCS,30-Jun-23,0.9,0.5,0.5,0.5,0.5,400,200,1
TCS,07-Jun-23,0.5,0.25,0.49,0.25,0.25,321,136,5
TCS,01-Jun-23,0.5,0.5,0.5,0.5,0.5,4,2,1
TCS,29-May-23,0.5,0.5,0.5,0.5,0.5,6,3,2
TCS,26-May-23,0.5,0.5,0.5,0.5,0.5,12,6,1
TCS,25-May-23,0.5,0.5,0.5,0.5,0.5,175,88,1
TCS,25-May-23,0.5,0.5,0.5,0.5,0.5,175,88,1
TCS,04-May-23,1,0.5,0.5,0.5,0.5,25,13,1
TCS,27-Apr-23,0.4,1,1,1,1,48,48,1
TCS,01-Apr-23,2,20,20,20,20,271,"5,420.00",4
TCS,01-Apr-23,1,100,100,100,100,1,100,1
TCS,01-Apr-23,0.75,0.05,0.05,0.05,0.05,1,-,1
TCS,20-Mar-23,1,0.5,0.5,0.5,0.5,64,32,1
TCS,11-Mar-23,1,10,10,10,10,50,500,1
TCS,04-Mar-23,1,4,4,4,4,40,160,1
TCS,01-Mar-23,0.98,0.98,1,0.98,1,425,424,2
