Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
INFY,10-Feb-26,0.5,0.5,0.5,0.5,0.5,"60,000","30,000.00",3
INFY,09-Feb-26,0.5,0.5,0.5,0.5,0.5,"58,400","29,200.00",12
INFY,07-Feb-26,4,0.05,15.07,0.05,15.07,200,761,3
INFY,06-Feb-26,1.85,0.7,0.7,0.7,0.7,10,7,1
INFY,06-Feb-26,0.47,0.47,0.5,0.47,0.5,"14,000","6,997.00",3
INFY,06-Feb-26,0.5,4.31,4.31,4,4,611,"2,444.31",5
INFY,05-Feb-26,0.5,0.45,0.5,0.45,0.47,"2,100","1,000.00",3
INFY,05-Feb-26,0.98,0.5,0.5,0.5,0.5,"1,200",600,2
INFY,04-Feb-26,0.02,0.02,1.02,0.02,0.98,"1,01,651","97,981.32",160
INFY,04-Feb-26,0.25,1,1.85,1,1.85,877,910.51,10
INFY,04-Feb-26,"1,764.30",0.5,0.5,0.3,0.5,"1,95,364","93,656.75",72
INFY,03-Feb-26,1.5,0.02,0.02,0.02,0.02,2,0.04,2
INFY,02-Feb-26,1.9,0.3,1.5,0.3,1.5,520,778.8,3
INFY,01-Feb-26,1.39,1.9,1.9,1.9,1.9,400,760,1
INFY,30-Jan-26,1.9,0.51,1.4,0.5,1.39,"2,307","2,107.62",11
INFY,29-Jan-26,0.01,0.25,0.25,0.25,0.25,1,0.25,1
INFY,29-Jan-26,0.25,1,2,1,1.9,"7,083","13,349.93",8
INFY,28-Jan-26,0.5,0.5,0.5,0.5,0.5,"61,641","30,820.50",32
INFY,28-Jan-26,0.26,0.01,1,0.01,0.25,837,695.85,6
INFY,23-Jan-26,0.51,0.51,0.6,0.5,0.5,"9,000","4,532.50",8
INFY,23-Jan-26,1,1.26,1.26,1.26,1.26,3,3.78,2
INFY,22-Jan-26,0.5,0.5,0.5,0.26,0.26,"20,576","10,273.60",8
INFY,22-Jan-26,0.54,0.61,0.65,0.51,0.51,"93,484","55,799.92",40
INFY,21-Jan-26,0.6,0.56,0.6,0.51,0.54,"90,600","50,752.00",27
INFY,21-Jan-26,0.25,0.5,0.5,0.5,0.5,"99,994","49,997.00",6
INFY,20-Jan-26,0.69,0.6,0.69,0.55,0.6,"2,08,160","1,28,629.02",47
INFY,20-Jan-26,1.37,0.25,0.25,0.25,0.25,6,1.5,1
INFY,19-Jan-26,1,0.99,1,0.99,1,498,493.2,5
